gene,disease
ORC4,Meier-Gorlin Syndrome 2
ORC6,Meier-Gorlin Syndrome 3
OSBPL2,"Dyschromatosis, Ichthyosis, Deafness, And Atopic Disease"
OSBPL2,Autosomal Dominant Nonsyndromic Hearing Loss 67
OSGEP,Galloway-Mowat Syndrome 3
OSMR,"Amyloidosis, Primary Localized Cutaneous, 1"
OSTM1,Autosomal Recessive Osteopetrosis 5
OTC,Ornithine Carbamoyltransferase Deficiency
OTC,Disorder Of The Urea Cycle Metabolism
OTOA,Hereditary Hearing Loss And Deafness
OTOA,Autosomal Recessive Nonsyndromic Hearing Loss 22
OTOF,Autosomal Recessive Nonsyndromic Hearing Loss 9
OTOF,Hereditary Hearing Loss And Deafness
OTOG,Autosomal Recessive Nonsyndromic Hearing Loss 18B
OTOGL,Autosomal Recessive Nonsyndromic Hearing Loss 84B
OTUD5,"Multiple Congenital Anomalies-Neurodevelopmental Syndrome, X-Linked"
OTUD6B,"Intellectual Developmental Disorder With Dysmorphic Facies, Seizures, And Distal Limb Anomalies"
OTUD7A,Neurodevelopmental Disorder With Hypotonia And Seizures
OTULIN,"Autoinflammation, Panniculitis, And Dermatosis Syndrome, Autosomal Dominant"
OTULIN,"Autoinflammation, Panniculitis, And Dermatosis Syndrome, Autosomal Recessive"
OTULIN,"Immunodeficiency 107, Susceptibility To Invasive Staphylococcus Aureus Infection"
OTX2,"Pituitary Hormone Deficiency, Combined, 6"
OTX2,Anophthalmia-Microphthalmia Syndrome
OTX2,Syndromic Microphthalmia Type 5
OVOL2,Posterior Polymorphous Corneal Dystrophy 1
OXCT1,Succinyl-Coa Acetoacetate Transferase Deficiency
OXGR1,"Nephrolithiasis, Calcium Oxalate, 2, With Or Without Nephrocalcinosis"
OXR1,Congenital Cerebellar Hypoplasia
P2RX2,Autosomal Dominant Nonsyndromic Hearing Loss 41
P2RY12,Platelet-Type Bleeding Disorder 8
P3H1,Osteogenesis Imperfecta Type 8
P3H2,"Myopia, High, With Cataract And Vitreoretinal Degeneration"
P4HA2,"Myopia 25, Autosomal Dominant"
P4HB,Cole-Carpenter Syndrome 1
PABPC1L,Oocyte/Zygote/Embryo Maturation Arrest 22
PABPN1,Oculopharyngeal Muscular Dystrophy 1
PACS1,Schuurs-Hoeijmakers Syndrome
PACS2,"Developmental And Epileptic Encephalopathy, 66"
PACSIN3,Congenital Myopathy 27
PADI3,Uncombable Hair Syndrome 1
PADI6,Preimplantation Embryonic Lethality 2
PAFAH1B1,Lissencephaly Due To Lis1 Mutation
PAH,Phenylketonuria
PAICS,Phosphoribosylaminoimidazole Carboxylase Deficiency
PAK1,"Intellectual Developmental Disorder With Macrocephaly, Seizures, And Speech Delay"
PAK2,Knobloch Syndrome 2
PAK3,"Intellectual Disability, X-Linked 30"
PALB2,Fanconi Anemia Complementation Group N
PALB2,"Pancreatic Cancer, Susceptibility To, 3"
PALB2,"Breast-Ovarian Cancer, Familial, Susceptibility To, 5"
PALLD,"Pancreatic Cancer, Susceptibility To, 1"
PAM16,"Autosomal Recessive Spondylometaphyseal Dysplasia, Megarbane Type"
PAN2,Developmental Delay With Variable Cardiac And Renal Congenital Anomalies And Dysmorphic Facies
PANK2,Pigmentary Pallidal Degeneration
PANK4,Cataract 49
PANX1,Oocyte Maturation Defect 7
PAPPA2,"Short Stature, Dauber-Argente Type"
PAPSS2,"Spondyloepimetaphyseal Dysplasia, Papss2 Type"
PARK7,Autosomal Recessive Early-Onset Parkinson Disease 7
PARN,"Pulmonary Fibrosis And/Or Bone Marrow Failure, Telomere-Related, 4"
PARN,"Dyskeratosis Congenita, Autosomal Recessive 6"
PARS2,"Developmental And Epileptic Encephalopathy, 75"
PATL2,Oocyte Maturation Defect 4
PAX1,Otofaciocervical Syndrome 2
PAX2,Renal Coloboma Syndrome
PAX2,Anophthalmia-Microphthalmia Syndrome
PAX2,Focal Segmental Glomerulosclerosis 7
PAX3,Waardenburg Syndrome Type 3
PAX3,Craniofacial-Deafness-Hand Syndrome
PAX3,Waardenburg Syndrome Type 1
PAX3,Alveolar Rhabdomyosarcoma
PAX4,Type 2 Diabetes Mellitus
PAX4,"Diabetes Mellitus, Ketosis-Prone"
PAX4,Maturity-Onset Diabetes Of The Young Type 9
PAX5,"Leukemia, Acute Lymphoblastic, Susceptibility To, 3"
PAX6,Foveal Hypoplasia 1
PAX6,Autosomal Dominant Keratitis
PAX6,Isolated Optic Nerve Hypoplasia
PAX6,Aniridia 1
PAX6,Congenital Aniridia
PAX6,Anophthalmia-Microphthalmia Syndrome
PAX6,"Coloboma, Ocular, Autosomal Dominant"
PAX6,11P Partial Monosomy Syndrome
PAX6,Irido-Corneo-Trabecular Dysgenesis
PAX6,Coloboma Of Optic Nerve
PAX7,"Myopathy, Congenital, Progressive, With Scoliosis"
PAX7,Alveolar Rhabdomyosarcoma
PAX8,"Hypothyroidism, Congenital, Nongoitrous, 2"
PAX9,"Tooth Agenesis, Selective, 3"
PBRM1,Nonpapillary Renal Cell Carcinoma
PBX1,"Congenital Anomalies Of Kidney And Urinary Tract Syndrome With Or Without Hearing Loss, Abnormal Ears, Or Developmental Delay"
PC,Pyruvate Carboxylase Deficiency
PCARE,Retinitis Pigmentosa 54
PCBD1,Pterin-4 Alpha-Carbinolamine Dehydratase 1 Deficiency
PCCA,Propionic Acidemia
PCCB,Propionic Acidemia
PCDH12,Diencephalic-Mesencephalic Junction Dysplasia Syndrome 1
PCDH15,Autosomal Recessive Nonsyndromic Hearing Loss 23
PCDH15,Hereditary Hearing Loss And Deafness
PCDH15,Usher Syndrome Type 1D
PCDH15,Usher Syndrome Type 1F
PCDH19,"Developmental And Epileptic Encephalopathy, 9"
PCDHGC4,Neurodevelopmental Disorder With Poor Growth And Skeletal Anomalies
PCGF2,Turnpenny-Fry Syndrome
PCK1,"Phosphoenolpyruvate Carboxykinase Deficiency, Cytosolic"
PCK2,"Phosphoenolpyruvate Carboxykinase Deficiency, Mitochondrial"
PCLO,Pontocerebellar Hypoplasia Type 3
PCNA,Ataxia-Telangiectasia-Like Disorder 2
PCNT,Microcephalic Osteodysplastic Primordial Dwarfism Type Ii
PCSK1,Body Mass Index Quantitative Trait Locus 12
PCSK1,Obesity Due To Prohormone Convertase I Deficiency
PCSK9,"Hypercholesterolemia, Autosomal Dominant, 3"
PCSK9,Familial Hypercholesterolemia
PCYT1A,Spondylometaphyseal Dysplasia-Cone-Rod Dystrophy Syndrome
PCYT1A,"Lipodystrophy, Congenital Generalized, Type 5"
PCYT2,"Spastic Paraplegia 82, Autosomal Recessive"
PDCD1,Autoimmune Disease With Susceptibility To Mycobacterium Tuberculosis
PDCD10,Cerebral Cavernous Malformation 3
PDCD10,Cerebral Cavernous Malformation
PDCD6IP,"Microcephaly 29, Primary, Autosomal Recessive"
PDE10A,Infantile-Onset Generalized Dyskinesia With Orofacial Involvement
PDE10A,"Striatal Degeneration, Autosomal Dominant 2"
PDE11A,"Pigmented Nodular Adrenocortical Disease, Primary, 2"
PDE1C,"Hearing Loss, Autosomal Dominant 74"
PDE2A,Intellectual Developmental Disorder With Paroxysmal Dyskinesia Or Seizures
PDE3A,Brachydactyly-Arterial Hypertension Syndrome
PDE4D,Acrodysostosis 2 With Or Without Hormone Resistance
PDE6A,Retinitis Pigmentosa 43
PDE6B,Retinitis Pigmentosa 40
PDE6B,Congenital Stationary Night Blindness Autosomal Dominant 2
PDE6C,Achromatopsia
PDE6C,Cone Dystrophy 4
PDE6D,Joubert Syndrome 22
PDE6G,Retinitis Pigmentosa 57
PDE6G,Retinitis Pigmentosa
PDE6H,Achromatopsia 6
PDE6H,Achromatopsia
PDE8B,Autosomal Dominant Striatal Neurodegeneration Type 1
PDE8B,"Pigmented Nodular Adrenocortical Disease, Primary, 3"
PDGFB,"Basal Ganglia Calcification, Idiopathic, 5"
PDGFB,Idiopathic Basal Ganglia Calcification 1
PDGFB,Familial Meningioma
PDGFRA,Idiopathic Hypereosinophilic Syndrome
PDGFRA,"Polyps, Multiple And Recurrent Inflammatory Fibroid, Gastrointestinal"
PDGFRB,Skeletal Overgrowth-Craniofacial Dysmorphism-Hyperelastic Skin-White Matter Lesions Syndrome
PDGFRB,"Basal Ganglia Calcification, Idiopathic, 4"
PDGFRB,Ocular Pterygium-Digital Keloid Dysplasia Syndrome
PDGFRB,Idiopathic Basal Ganglia Calcification 1
PDGFRB,"Myofibromatosis, Infantile, 1"
PDGFRB,Acroosteolysis-Keloid-Like Lesions-Premature Aging Syndrome
PDGFRL,Colorectal Cancer
PDGFRL,Hepatocellular Carcinoma
PDHA1,Pyruvate Dehydrogenase E1-Alpha Deficiency
PDHA2,Spermatogenic Failure 70
PDHB,Pyruvate Dehydrogenase E1-Beta Deficiency
PDHX,Pyruvate Dehydrogenase E3-Binding Protein Deficiency
PDK3,Charcot-Marie-Tooth Disease
PDK3,Charcot-Marie-Tooth Disease X-Linked Dominant 6
PDLIM4,Osteoporosis
PDP1,Pyruvate Dehydrogenase Phosphatase Deficiency
PDSS1,Deafness-Encephaloneuropathy-Obesity-Valvulopathy Syndrome
PDSS2,"Coenzyme Q10 Deficiency, Primary, 3"
PDX1,Type 2 Diabetes Mellitus
PDX1,Permanent Neonatal Diabetes Mellitus
PDX1,Pancreatic Agenesis 1
PDX1,Maturity-Onset Diabetes Of The Young Type 4
PDXK,"Neuropathy, Hereditary Motor And Sensory, Type Vic, With Optic Atrophy"
PDYN,Spinocerebellar Ataxia Type 23
PDZD7,Usher Syndrome Type 2C
PDZD7,Usher Syndrome Type 2A
PDZD7,"Hearing Loss, Autosomal Recessive 57"
PDZD8,Intellectual Developmental Disorder With Autism And Dysmorphic Facies
PEPD,Prolidase Deficiency
PER2,Advanced Sleep Phase Syndrome 1
PER3,Advanced Sleep Phase Syndrome 3
PERCC1,"Diarrhea 11, Malabsorptive, Congenital"
PERP,Olmsted Syndrome 2
PERP,Erythrokeratodermia Variabilis Et Progressiva 7
PET100,"Mitochondrial Complex Iv Deficiency, Nuclear Type 12"
PET117,"Mitochondrial Complex Iv Deficiency, Nuclear Type 19"
PEX1,Peroxisome Biogenesis Disorder 1B
PEX1,Peroxisome Biogenesis Disorder 1A (Zellweger)
PEX1,Heimler Syndrome 1
PEX10,Peroxisome Biogenesis Disorder 6B
PEX10,Peroxisome Biogenesis Disorder 6A (Zellweger)
PEX11B,Peroxisome Biogenesis Disorder 14B
PEX12,Peroxisome Biogenesis Disorder 3A (Zellweger)
PEX12,Peroxisome Biogenesis Disorder
PEX12,Peroxisome Biogenesis Disorder Type 3B
PEX13,Peroxisome Biogenesis Disorder 11B
PEX13,Peroxisome Biogenesis Disorder 11A (Zellweger)
PEX14,Peroxisome Biogenesis Disorder 13A (Zellweger)
PEX16,Peroxisome Biogenesis Disorder 8B
PEX16,Peroxisome Biogenesis Disorder
PEX16,Peroxisome Biogenesis Disorder 8A (Zellweger)
PEX19,Peroxisome Biogenesis Disorder 12A (Zellweger)
PEX2,Peroxisome Biogenesis Disorder 5A (Zellweger)
PEX2,Peroxisome Biogenesis Disorder 5B
PEX26,Peroxisome Biogenesis Disorder 7B
PEX26,Peroxisome Biogenesis Disorder 7A (Zellweger)
PEX3,Peroxisome Biogenesis Disorder 10B
PEX3,Peroxisome Biogenesis Disorder 10A (Zellweger)
PEX5,Peroxisome Biogenesis Disorder 2B
PEX5,Peroxisome Biogenesis Disorder 2A (Zellweger)
PEX5,Rhizomelic Chondrodysplasia Punctata Type 5
PEX6,Peroxisome Biogenesis Disorder 4A (Zellweger)
PEX6,Peroxisome Biogenesis Disorder
PEX6,Peroxisome Biogenesis Disorder 4B
PEX6,Heimler Syndrome 2
PEX7,Rhizomelic Chondrodysplasia Punctata Type 1
PEX7,Phytanic Acid Storage Disease
PEX7,Peroxisome Biogenesis Disorder 9B
PFKM,"Glycogen Storage Disease, Type Vii"
PFN1,Amyotrophic Lateral Sclerosis Type 18
PGAM2,Glycogen Storage Disease Type X
PGAP1,"Intellectual Disability, Autosomal Recessive 42"
PGAP2,Hyperphosphatasia With Intellectual Disability Syndrome 3
PGAP3,Hyperphosphatasia With Intellectual Disability Syndrome 4
PGBD5,"Neurodevelopmental Disorder With Seizures, Hypotonia, And Variable Spasticity"
PGK1,Glycogen Storage Disease Due To Phosphoglycerate Kinase 1 Deficiency
PGM1,Pgm1-Congenital Disorder Of Glycosylation
PGM1,Congenital Disorder Of Glycosylation
PGM2L1,"Neurodevelopmental Disorder With Hypotonia, Dysmorphic Facies, And Skin Abnormalities"
PGM3,Immunodeficiency 23
PGR,Progesterone Resistance
PHACTR1,"Developmental And Epileptic Encephalopathy, 70"
PHB1,Familial Cancer Of Breast
PHC1,"Microcephaly 11, Primary, Autosomal Recessive"
PHEX,Familial X-Linked Hypophosphatemic Vitamin D Refractory Rickets
PHF21A,Intellectual Developmental Disorder With Behavioral Abnormalities And Craniofacial Dysmorphism With Or Without Seizures
PHF6,Borjeson-Forssman-Lehmann Syndrome
PHF8,Syndromic X-Linked Intellectual Disability Siderius Type
PHGDH,Phgdh Deficiency
PHGDH,Neu-Laxova Syndrome 1
PHIP,Phip-Related Behavioral Problems-Intellectual Disability-Obesity-Dysmorphic Features Syndrome
PHKA1,Glycogen Storage Disease Ixd
PHKA1,Glycogen Phosphorylase Kinase Deficiency
PHKA2,Glycogen Phosphorylase Kinase Deficiency
PHKA2,Glycogen Storage Disease Ixa1
PHKB,Glycogen Storage Disease Ixb
PHKB,Glycogen Phosphorylase Kinase Deficiency
PHKG2,Glycogen Phosphorylase Kinase Deficiency
PHKG2,Glycogen Storage Disease Ixc
PHLDB1,"Osteogenesis Imperfecta, Type 23"
PHOX2A,"Fibrosis Of Extraocular Muscles, Congenital, 2"
PHOX2B,"Neuroblastoma, Susceptibility To, 2"
PHOX2B,"Central Hypoventilation Syndrome, Congenital, 1, With Or Without Hirschsprung Disease"
PHYH,Phytanic Acid Storage Disease
PHYKPL,Phosphohydroxylysinuria
PI4K2A,"Neurodevelopmental Disorder With Hyperkinetic Movements, Seizures, And Structural Brain Abnormalities"
PI4KA,"Polymicrogyria, Perisylvian, With Cerebellar Hypoplasia And Arthrogryposis"
PI4KA,"Spastic Paraplegia 84, Autosomal Recessive"
PI4KA,Gastrointestinal Defects And Immunodeficiency Syndrome 2
PI4KB,"Hearing Loss, Autosomal Dominant 87"
PIBF1,Joubert Syndrome 33
PICALM,Acute Myeloid Leukemia
PIDD1,"Intellectual Developmental Disorder, Autosomal Recessive 75, With Neuropsychiatric Features And Variant Lissencephaly"
PIEZO1,"Blood Group, Er"
PIEZO1,Lymphatic Malformation 6
PIEZO1,Dehydrated Hereditary Stomatocytosis With Or Without Pseudohyperkalemia And/Or Perinatal Edema
PIEZO2,Gordon Syndrome
PIEZO2,Marden-Walker Syndrome
PIEZO2,"Arthrogryposis, Distal, With Impaired Proprioception And Touch"
PIEZO2,Arthrogryposis- Oculomotor Limitation-Electroretinal Anomalies Syndrome
PIGA,Neurodevelopmental Disorder With Epilepsy And Hemochromatosis
PIGA,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 2
PIGA,Paroxysmal Nocturnal Hemoglobinuria 1
PIGB,"Developmental And Epileptic Encephalopathy, 80"
PIGC,Glycosylphosphatidylinositol Biosynthesis Defect 16
PIGF,"Onychodystrophy, Osteodystrophy, Impaired Intellectual Development, And Seizures Syndrome"
PIGG,"Intellectual Disability, Autosomal Recessive 53"
PIGG,"Blood Group, Emm System"
PIGH,Glycosylphosphatidylinositol Biosynthesis Defect 17
PIGK,"Neurodevelopmental Disorder With Hypotonia And Cerebellar Atrophy, With Or Without Seizures"
PIGL,Chime Syndrome
PIGM,Hypercoagulability Syndrome Due To Glycosylphosphatidylinositol Deficiency
PIGN,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 1
PIGO,Hyperphosphatasia With Intellectual Disability Syndrome 2
PIGP,"Developmental And Epileptic Encephalopathy, 55"
PIGQ,"Developmental And Epileptic Encephalopathy, 77"
PIGS,Glycosylphosphatidylinositol Biosynthesis Defect 18
PIGT,Paroxysmal Nocturnal Hemoglobinuria 2
PIGT,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 3
PIGU,Glycosylphosphatidylinositol Biosynthesis Defect 21
PIGV,Hyperphosphatasia With Intellectual Disability Syndrome 1
PIGW,Hyperphosphatasia With Intellectual Disability Syndrome 5
PIGY,Hyperphosphatasia With Intellectual Disability Syndrome 6
PIK3C2A,Oculocerebrodental Syndrome
PIK3CA,Cerebral Cavernous Malformation 4
PIK3CA,Cowden Syndrome 5
PIK3CA,Megalencephaly-Capillary Malformation-Polymicrogyria Syndrome
PIK3CA,Cloves Syndrome
PIK3CA,Hepatocellular Carcinoma
PIK3CA,Gastric Cancer
PIK3CA,Hemifacial Myohyperplasia
PIK3CA,Colorectal Cancer
PIK3CA,Ovarian Cancer
PIK3CA,Familial Cancer Of Breast
PIK3CA,Clapo Syndrome
PIK3CA,Epidermal Nevus
PIK3CA,Seborrheic Keratosis
PIK3CA,Congenital Macrodactylia
PIK3CA,Lung Cancer
PIK3CD,Immunodeficiency 14
PIK3CD,Combined Immunodeficiency With Faciooculoskeletal Anomalies
PIK3CD,"Immunodeficiency 14B, Autosomal Recessive"
PIK3CG,Immunodeficiency 97 With Autoinflammation
PIK3R1,"Agammaglobulinemia 7, Autosomal Recessive"
PIK3R1,Immunodeficiency 36 With Lymphoproliferation
PIK3R1,Short Syndrome
PIK3R2,Megalencephaly-Polymicrogyria-Postaxial Polydactyly-Hydrocephalus Syndrome
PIK3R2,Megalencephaly-Polymicrogyria-Polydactyly-Hydrocephalus Syndrome 1
PIK3R5,Ataxia With Oculomotor Apraxia Type 3
PIKFYVE,Fleck Corneal Dystrophy
PINK1,Autosomal Recessive Early-Onset Parkinson Disease 6
PIP5K1C,Lethal Congenital Contracture Syndrome 3
PISD,Liberfarb Syndrome
PITPNM3,Cone-Rod Dystrophy 5
PITRM1,"Spinocerebellar Ataxia, Autosomal Recessive 30"
PITX1,Clubfoot
PITX2,Anterior Segment Dysgenesis 4
PITX2,Ring Dermoid Of Cornea
PITX2,Anophthalmia-Microphthalmia Syndrome
PITX2,Axenfeld-Rieger Syndrome Type 1
PITX3,Anophthalmia-Microphthalmia Syndrome
PITX3,Cataract 11 Multiple Types
PITX3,Anterior Segment Dysgenesis 1
PJVK,Autosomal Recessive Nonsyndromic Hearing Loss 59
PJVK,Hereditary Hearing Loss And Deafness
PKD1,"Polycystic Kidney Disease, Adult Type"
PKD1L1,"Heterotaxy, Visceral, 8, Autosomal"
PKD2,Polycystic Kidney Disease 2
PKDCC,Rhizomelic Limb Shortening With Dysmorphic Features
PKHD1,Polycystic Kidney Disease 4
PKHD1L1,Autosomal Recessive Nonsyndromic Hearing Loss 124
PKLR,Pyruvate Kinase Hyperactivity
PKLR,Pyruvate Kinase Deficiency Of Red Cells
PKP1,Epidermolysis Bullosa Simplex Due To Plakophilin Deficiency
PKP2,Arrhythmogenic Right Ventricular Cardiomyopathy
PKP2,Arrhythmogenic Right Ventricular Dysplasia 9
PLA2G2A,Colorectal Cancer
PLA2G4A,Cytosolic Phospholipase-A2 Alpha Deficiency Associated Bleeding Disorder
PLA2G5,Familial Benign Flecked Retina
PLA2G6,Neurodegeneration With Brain Iron Accumulation 2B
PLA2G6,Infantile Neuroaxonal Dystrophy
PLA2G6,Autosomal Recessive Parkinson Disease 14
PLA2G6,Neurodegeneration With Brain Iron Accumulation
PLA2G7,Platelet-Activating Factor Acetylhydrolase Deficiency
PLAA,"Neurodevelopmental Disorder With Progressive Microcephaly, Spasticity, And Brain Anomalies"
PLAAT3,"Lipodystrophy, Familial Partial, Type 9"
PLAG1,Pleomorphic Adenoma Of Salivary Gland
PLAG1,Silver-Russell Syndrome 4
PLAGL1,"Diabetes Mellitus, Transient Neonatal, 1"
PLAU,Quebec Platelet Disorder
PLAU,Alzheimer Disease Type 1
PLCB1,"Developmental And Epileptic Encephalopathy, 12"
PLCB3,Spondylometaphyseal Dysplasia With Corneal Dystrophy
PLCB4,Auriculocondylar Syndrome 2B
PLCB4,Auriculocondylar Syndrome 2
PLCD1,Nonsyndromic Congenital Nail Disorder 3
PLCE1,"Nephrotic Syndrome, Type 3"
PLCG1,"Immune Dysregulation, Autoimmunity, And Autoinflammation"
PLCG2,Familial Cold Autoinflammatory Syndrome 3
PLCG2,Autoinflammation-Plcg2-Associated Antibody Deficiency-Immune Dysregulation
PLCH1,Holoprosencephaly 14
PLCZ1,Spermatogenic Failure 17
PLD1,"Cardiac Valvular Defect, Developmental"
PLD3,Spinocerebellar Ataxia 46
PLD4,Systemic Lupus Erythematosus 18
PLEC,Epidermolysis Bullosa Simplex With Nail Dystrophy
PLEC,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2Q
PLEC,"Epidermolysis Bullosa Simplex, Ogna Type"
PLEC,"Epidermolysis Bullosa Simplex 5B, With Muscular Dystrophy"
PLEC,"Epidermolysis Bullosa Simplex 5C, With Pyloric Atresia"
PLEC,Junctional Epidermolysis Bullosa With Pyloric Atresia
PLEKHG2,Leukodystrophy And Acquired Microcephaly With Or Without Dystonia;
PLEKHG5,"Neuronopathy, Distal Hereditary Motor, Autosomal Recessive 4"
PLEKHG5,Charcot-Marie-Tooth Disease
PLEKHG5,Charcot-Marie-Tooth Disease Recessive Intermediate C
PLEKHM1,Autosomal Recessive Osteopetrosis 6
PLEKHM1,"Osteopetrosis, Autosomal Dominant 3"
PLG,"Angioedema, Hereditary, 4"
PLG,"Plasminogen Deficiency, Type I"
PLIN1,Plin1-Related Familial Partial Lipodystrophy
PLIN4,Vacuolar Neuromyopathy
PLK4,Microcephaly And Chorioretinopathy 2
PLN,Primary Dilated Cardiomyopathy
PLN,Dilated Cardiomyopathy 1P
PLN,Hypertrophic Cardiomyopathy 18
PLN,Primary Familial Hypertrophic Cardiomyopathy
PLN,Arrhythmogenic Right Ventricular Cardiomyopathy
PLOD1,"Ehlers-Danlos Syndrome, Kyphoscoliotic Type 1"
PLOD2,Bruck Syndrome 2
PLOD3,"Bone Fragility With Contractures, Arterial Rupture, And Deafness"
PLP1,Hereditary Spastic Paraplegia 2
PLP1,Pelizaeus-Merzbacher Disease
PLPBP,"Epilepsy, Early-Onset, Vitamin B6-Dependent"
PLS1,"Hearing Loss, Autosomal Dominant 76"
PLS3,Bone Mineral Density Quantitative Trait Locus 18
PLS3,"Hernia, Anterior Diaphragmatic"
PLVAP,"Diarrhea 10, Protein-Losing Enteropathy Type"
PLXNA1,Dworschak-Punetha Neurodevelopmental Syndrome
PLXND1,"Congenital Heart Defects, Multiple Types, 9"
PMFBP1,Spermatogenic Failure 31
PMM2,Pmm2-Congenital Disorder Of Glycosylation
PMP2,"Charcot-Marie-Tooth Disease, Demyelinating, Type 1G"
PMP22,Charcot-Marie-Tooth Disease Type 1E
PMP22,Hereditary Liability To Pressure Palsies
PMP22,Roussy-Lévy Syndrome
PMP22,Dejerine-Sottas Disease
PMP22,"Charcot-Marie-Tooth Disease, Type Ia"
PMP22,"Guillain-Barre Syndrome, Familial"
PMP22,Charcot-Marie-Tooth Disease
PMPCA,Autosomal Recessive Spinocerebellar Ataxia 2
PMPCB,Multiple Mitochondrial Dysfunctions Syndrome 6
PMS1,Lynch Syndrome 1
PMS2,Lynch Syndrome 4
PMS2,Lynch Syndrome
PMS2,Mismatch Repair Cancer Syndrome 4
PMVK,"Porokeratosis 1, Mibelli Type"
PNKD,Paroxysmal Nonkinesigenic Dyskinesia 1
PNKP,Ataxia - Oculomotor Apraxia Type 4
PNKP,Charcot-Marie-Tooth Disease Type 2B2
PNKP,"Microcephaly, Seizures, And Developmental Delay"
PNLDC1,Spermatogenic Failure 57
PNLIP,Pancreatic Triacylglycerol Lipase Deficiency
PNP,Purine-Nucleoside Phosphorylase Deficiency
PNPLA1,Autosomal Recessive Congenital Ichthyosis 10
PNPLA2,Neutral Lipid Storage Myopathy
PNPLA6,Ataxia-Hypogonadism-Choroidal Dystrophy Syndrome
PNPLA6,Laurence-Moon Syndrome
PNPLA6,Trichomegaly-Retina Pigmentary Degeneration-Dwarfism Syndrome
PNPLA6,Hereditary Spastic Paraplegia 39
PNPLA8,Mitochondrial Myopathy-Lactic Acidosis-Deafness Syndrome
PNPO,Pyridoxal Phosphate-Responsive Seizures
PNPT1,Combined Oxidative Phosphorylation Defect Type 13
PNPT1,Spinocerebellar Ataxia Type 25
PNPT1,Autosomal Recessive Nonsyndromic Hearing Loss 70
POC1A,Short Stature-Onychodysplasia-Facial Dysmorphism-Hypotrichosis Syndrome
POC1B,Cone-Rod Dystrophy 20
POF1B,Premature Ovarian Failure 2B
POFUT1,Dowling-Degos Disease 2
POGLUT1,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2R1
POGLUT1,Dowling-Degos Disease 4
POGZ,Intellectual Disability-Microcephaly-Strabismus-Behavioral Abnormalities Syndrome
POLA1,"X-Linked Intellectual Disability, Van Esch Type"
POLA1,X-Linked Reticulate Pigmentary Disorder
POLD1,"Colorectal Cancer, Susceptibility To, 10"
POLD1,Immunodeficiency 120
POLD1,Mandibular Hypoplasia-Deafness-Progeroid Syndrome
POLD3,Immunodeficiency 122
POLE,Facial Dysmorphism-Immunodeficiency-Livedo-Short Stature Syndrome
POLE,"Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, Genital Anomalies, And Immunodeficiency"
POLE,"Colorectal Cancer, Susceptibility To, 12"
POLG,"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Recessive 1"
POLG,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis"
POLG,Progressive Sclerosing Poliodystrophy
POLG,Mitochondrial Dna Depletion Syndrome 4B
POLG,"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant 1"
POLG,Mitochondrial Dna Depletion Syndrome 1
POLG2,Mitochondrial Dna Depletion Syndrome 16 (Hepatic Type)
POLG2,"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant 4"
POLG2,Mitochondrial Dna Depletion Syndrome 16B (Neuroophthalmic Type)
POLH,Xeroderma Pigmentosum Variant Type
POLR1A,"Leukodystrophy, Hypomyelinating, 27"
POLR1A,Acrofacial Dysostosis Cincinnati Type
POLR1B,Treacher Collins Syndrome 4
POLR1C,Hypomyelinating Leukodystrophy 11
POLR1C,Treacher Collins Syndrome 3
POLR1C,Polr3-Related Leukodystrophy
POLR1D,Treacher Collins Syndrome 2
POLR2A,Neurodevelopmental Disorder With Hypotonia And Variable Intellectual And Behavioral Abnormalities
POLR3A,"Leukodystrophy, Hypomyelinating, 7, With Or Without Oligodontia And/Or Hypogonadotropic Hypogonadism"
POLR3A,Neonatal Pseudo-Hydrocephalic Progeroid Syndrome
POLR3A,Polr3-Related Leukodystrophy
POLR3B,Polr3-Related Leukodystrophy
POLR3B,"Leukodystrophy, Hypomyelinating, 7, With Or Without Oligodontia And/Or Hypogonadotropic Hypogonadism"
POLR3B,"Charcot-Marie-Tooth Disease, Demyelinating, Iia 1I"
POLR3B,Hypomyelinating Leukodystrophy 8 With Or Without Oligodontia And-Or Hypogonadotropic Hypogonadism
POLR3F,Immunodeficiency 101 (Varicella Zoster Virus-Specific)
POLR3GL,"Short Stature, Oligodontia, Dysmorphic Facies, And Motor Delay"
POLR3K,"Leukodystrophy, Hypomyelinating, 21"
POLRMT,Combined Oxidative Phosphorylation Deficiency 55
POMC,Obesity Due To Pro-Opiomelanocortin Deficiency
POMC,Inherited Obesity
POMGNT1,Retinitis Pigmentosa 76
POMGNT1,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Intellectual Disability), Type B3"
POMGNT1,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2O
